question,1,2,3,4,prompt,prompt_answer,answer,correct answer,evaluation,justificacion
"Entre las características clínicas siguientes rela-tivas a la anorexia nerviosa , señale la afirmación correcta:",Una forma clínica se asocia a atracones y con-ductas purgativas.,Se distribuye por igua l entre ambos sexos.,La amenorrea es un criterio diagnóstico nece-sario de enfermedad en mujeres.,"Hay deseo de perder peso, pero con una per-cepción normal de la propia constitución.","Entre las características clínicas siguientes rela-tivas a la anorexia nerviosa , señale la afirmación correcta: 
1) Una forma clínica se asocia a atracones y con-ductas purgativas.
2) Se distribuye por igua l entre ambos sexos.
3) La amenorrea es un criterio diagnóstico nece-sario de enfermedad en mujeres.
4) Hay deseo de perder peso, pero con una per-cepción normal de la propia constitución. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': ""La amenorrea (ausencia de menstruación) es un criterio diagnóstico necesario de enfermedad en mujeres con anorexia nerviosa, según los criterios diagnósticos establecidos por el DSM-5 (Manual Diagnóstico y Estadístico de los Trastornos Mentales).""}",3,1,False,"La amenorrea (ausencia de menstruación) es un criterio diagnóstico necesario de enfermedad en mujeres con anorexia nerviosa, según los criterios diagnósticos establecidos por el DSM-5 (Manual Diagnóstico y Estadístico de los Trastornos Mentales).""}"
"En relación con la estenosis hipertrófica de pílo-ro, señale la afirma ción INCORRECTA:",Afecta predominantemente a primogénitos varones.,Se ha encontrado mayor incidencia en hijas de madres tratadas con macrólidos durante el em-barazo.,La alteración hidroelectrolítica típica es una acidosis metabólica hipoclorémica.,El tratamiento de elección es la piloromioto-mía extramucosa de Ramstedt.,"En relación con la estenosis hipertrófica de pílo-ro, señale la afirma ción INCORRECTA: 
1) Afecta predominantemente a primogénitos varones.
2) Se ha encontrado mayor incidencia en hijas de madres tratadas con macrólidos durante el em-barazo.
3) La alteración hidroelectrolítica típica es una acidosis metabólica hipoclorémica.
4) El tratamiento de elección es la piloromioto-mía extramucosa de Ramstedt.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'La estenosis hipertrófica del piloro no se ha encontrado relacionada con el tratamiento con macrólidos durante el embarazo.'}",2,3,False,La estenosis hipertrófica del piloro no se ha encontrado relacionada con el tratamiento con macrólidos durante el embarazo.'}
"Para el dia gnóstico de enfermedad de Kawasaki clásica es necesaria la presencia de fiebre al me-nos cinco días y 4 de los principales si gnos de la enfermedad. De los si guientes, señale cuál NO SE CONSIDERA un signo principal:",Eritema de las mucosas faríngea y oral con lengua en fresa y/o labios agrietados.,Exantema polimorfo.,"Linfadenopatía cervical (> 1,5 cm de diámetro) generalmente unilateral.",Inyección conjuntival e xudativa bilateral.,"Para el dia gnóstico de enfermedad de Kawasaki clásica es necesaria la presencia de fiebre al me-nos cinco días y 4 de los principales si gnos de la enfermedad. De los si guientes, señale cuál NO SE CONSIDERA un signo principal: 
1) Eritema de las mucosas faríngea y oral con lengua en fresa y/o labios agrietados.
2) Exantema polimorfo.
3) Linfadenopatía cervical (> 1,5 cm de diámetro) generalmente unilateral.
4) Inyección conjuntival e xudativa bilateral.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': ""La inyección conjuntival exudativa bilateral no se considera un signo principal en el diagnóstico de la enfermedad de Kawasaki clásica.""}",4,4,True,"La inyección conjuntival exudativa bilateral no se considera un signo principal en el diagnóstico de la enfermedad de Kawasaki clásica.""}"
"En relación con las vacunas y los calendarios de vacunación en las comunidades autónomas espa-ñolas, señale la afi rmación INCORRECTA:",Las vacunas sistemáticas son aquellas que se administran de forma obligatoria a todos los niños según el calendario vacunal vigente en su comunidad autónoma.,Las vacunas no sistemáticas son aquellas que no se administran de forma universal en todas las comunidades autónomas.,El calendario vacunal se define como la se-cuencia cronológica de vacunas que se admi-nistra sistemáticamente en un país o área geo-gráfica determinada.,Los calendarios vacunales deben actualizarse de forma permanente según el desarrollo de nuevas vacunas o el cambio de incidencia de enfermedades en un área geográfica determi-nada.,"En relación con las vacunas y los calendarios de vacunación en las comunidades autónomas espa-ñolas, señale la afi rmación INCORRECTA: 
1) Las vacunas sistemáticas son aquellas que se administran de forma obligatoria a todos los niños según el calendario vacunal vigente en su comunidad autónoma.
2) Las vacunas no sistemáticas son aquellas que no se administran de forma universal en todas las comunidades autónomas.
3) El calendario vacunal se define como la se-cuencia cronológica de vacunas que se admi-nistra sistemáticamente en un país o área geo-gráfica determinada.
4) Los calendarios vacunales deben actualizarse de forma permanente según el desarrollo de nuevas vacunas o el cambio de incidencia de enfermedades en un área geográfica determi-nada.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'La afirmación 2 es incorrecta. Las vacunas no sistemáticas son aquellas que se administran a determinados grupos de población o en situaciones específicas, como viajeros a países con riesgo de enfermedad o personas con determinadas condiciones médicas.'}",2,1,False,"La afirmación 2 es incorrecta. Las vacunas no sistemáticas son aquellas que se administran a determinados grupos de población o en situaciones específicas, como viajeros a países con riesgo de enfermedad o personas con determinadas condiciones médicas.'}"
"Paciente de 7 años ingresado desde hace varios d í a s  c o n  d i a gnóstico de neumonía, tratado con antibióticos. Mantiene picos febriles por lo que se realiza una ecografía torácica en donde se obser-va derrame pleural con múltiples tabiques. Se hace una toracocentesis diagnóstica extra yéndose material purulento. ¿Qué se debe hacer a conti-nuación?:",Drenaje cerrado con un tubo de tórax con insti-lación de fibrinolíticos.,Toracocentesis repetidas para extraer todo el derrame posible.,Decorticación quirúrgica.,Ampliación de la cobertura antibiótica.,"Paciente de 7 años ingresado desde hace varios d í a s  c o n  d i a gnóstico de neumonía, tratado con antibióticos. Mantiene picos febriles por lo que se realiza una ecografía torácica en donde se obser-va derrame pleural con múltiples tabiques. Se hace una toracocentesis diagnóstica extra yéndose material purulento. ¿Qué se debe hacer a conti-nuación?: 
1) Drenaje cerrado con un tubo de tórax con insti-lación de fibrinolíticos.
2) Toracocentesis repetidas para extraer todo el derrame posible.
3) Decorticación quirúrgica.
4) Ampliación de la cobertura antibiótica. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 1, 'justificación': ""La opción correcta es la realización de un drenaje cerrado con un tubo de tórax con instilación de fibrinolíticos, ya que permite la eliminación del exceso de líquido acumulado en el espacio pleural y mejora el pronóstico del paciente.""}",1,1,True,"La opción correcta es la realización de un drenaje cerrado con un tubo de tórax con instilación de fibrinolíticos, ya que permite la eliminación del exceso de líquido acumulado en el espacio pleural y mejora el pronóstico del paciente.""}"
"Mujer de 13 años que acude a consulta por fie-bre alta de 5 días de evolución, odinofagia, cefa-lea, dolor abdominal y astenia intensa que inter-fiere en su vida cotidiana. En la exploración se aprecian amígdalas rojas con membrana exuda-tiva, maloliente. Se palp an adenopatías cervica-les anteriores, posteriores , occipitales y epitro-cleares. En el abdomen se palpa hígado a 1 cm y bazo a 3 cm del reborde costal. Ante esta clínica y exploración ¿qué estudi o serológico pediría?:",Sarampión.,Rubeola.,Epstein-Barr.,Parvovirus B 19.,"Mujer de 13 años que acude a consulta por fie-bre alta de 5 días de evolución, odinofagia, cefa-lea, dolor abdominal y astenia intensa que inter-fiere en su vida cotidiana. En la exploración se aprecian amígdalas rojas con membrana exuda-tiva, maloliente. Se palp an adenopatías cervica-les anteriores, posteriores , occipitales y epitro-cleares. En el abdomen se palpa hígado a 1 cm y bazo a 3 cm del reborde costal. Ante esta clínica y exploración ¿qué estudi o serológico pediría?: 
1) Sarampión.
2) Rubeola.
3) Epstein-Barr.
4) Parvovirus B 19. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': 'La clínica y exploración presentada es compatible con una infección por el virus de Epstein-Barr, que causa la mononucleosis infecciosa. Por lo tanto, se pediría el estudio serológico correspondiente a esta infección.'}",3,3,True,"La clínica y exploración presentada es compatible con una infección por el virus de Epstein-Barr, que causa la mononucleosis infecciosa. Por lo tanto, se pediría el estudio serológico correspondiente a esta infección.'}"
Indique que fármaco NO está indicado en el tratamiento de mantenimiento del trastorno bipolar:,Litio.,Valproato.,Carbamazepina.,Clorazepato.,"Indique que fármaco NO está indicado en el tratamiento de mantenimiento del trastorno bipolar: 
1) Litio.
2) Valproato.
3) Carbamazepina.
4) Clorazepato. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': 'El clorazepato es un fármaco ansiolítico que se utiliza para el tratamiento de los trastornos ansiosos, no está indicado en el tratamiento del trastorno bipolar.'}",4,4,True,"El clorazepato es un fármaco ansiolítico que se utiliza para el tratamiento de los trastornos ansiosos, no está indicado en el tratamiento del trastorno bipolar.'}"
Varón de 26 años que ha presentado un primer episodio depresivo con remisión completa de la sintomatología con un primer antidepresivo en monoterapia. ¿Cuánto tiempo se recomienda mantener el tratamiento?:,En un primer episodio en pacientes jóvenes con buena respuesta se puede suspender el tra-tamiento al cabo de un mes.,Se recomienda mantener el tratamiento durante un mínimo de tres meses tras la remisión.,Se recomienda mantener el tratamiento durante un mínimo de seis meses tras la remisión.,Se recomienda mantener el tratamiento durante un mínimo de dos  años para prevenir recaídas.,"Varón de 26 años que ha presentado un primer episodio depresivo con remisión completa de la sintomatología con un primer antidepresivo en monoterapia. ¿Cuánto tiempo se recomienda mantener el tratamiento?: 
1) En un primer episodio en pacientes jóvenes con buena respuesta se puede suspender el tra-tamiento al cabo de un mes.
2) Se recomienda mantener el tratamiento durante un mínimo de tres meses tras la remisión.
3) Se recomienda mantener el tratamiento durante un mínimo de seis meses tras la remisión.
4) Se recomienda mantener el tratamiento durante un mínimo de dos  años para prevenir recaídas. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': 'Se recomienda mantener el tratamiento durante un mínimo de seis meses tras la remisión para prevenir recaídas en pacientes con episodio depresivo unipolares.'}",3,3,True,Se recomienda mantener el tratamiento durante un mínimo de seis meses tras la remisión para prevenir recaídas en pacientes con episodio depresivo unipolares.'}
"Varón de 71 años sin antecedentes psiquiátricos que presenta un cuadro de tres semanas de evo-lución caracterizado por déficit de memoria, inatención, insomnio, pérd ida de peso, inquietud, angustia de predominio m atutino e ideas deliran-tes de culpa y p e r juicio. De los si guientes, el diagnóstico más probable es:",Catalepsia.,Esquizofrenia de inicio tardío.,Enfermedad de Alzheimer.,E pi s o di o  d e p r e s i vo  g ra v e  c o n s í nt om a s  ps i c ó-ticos.,"Varón de 71 años sin antecedentes psiquiátricos que presenta un cuadro de tres semanas de evo-lución caracterizado por déficit de memoria, inatención, insomnio, pérd ida de peso, inquietud, angustia de predominio m atutino e ideas deliran-tes de culpa y p e r juicio. De los si guientes, el diagnóstico más probable es: 
1) Catalepsia.
2) Esquizofrenia de inicio tardío.
3) Enfermedad de Alzheimer.
4) E pi s o di o  d e p r e s i vo  g ra v e  c o n s í nt om a s  ps i c ó-ticos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': 'El diagnóstico más probable en este caso es la enfermedad de Alzheimer debido a la presencia de déficit de memoria, inatención, pérdida de peso, inquietud y angustia de predominio matutino, que son síntomas típicos de la enfermedad. Además, el hecho de que el paciente tenga 71 años y no presente antecedentes psiquiátricos apoya esta hipótesis.'}",3,4,False,"El diagnóstico más probable en este caso es la enfermedad de Alzheimer debido a la presencia de déficit de memoria, inatención, pérdida de peso, inquietud y angustia de predominio matutino, que son síntomas típicos de la enfermedad. Además, el hecho de que el paciente tenga 71 años y no presente antecedentes psiquiátricos apoya esta hipótesis.'}"
"La depresión mayor, especialmente si tiene ca-rácter endógeno/melancólico, se caracteriza por una de las siguientes alteraciones:",Incremento del apetito.,Disminución de la secreción de cortisol.,Dificultad para despertarse por la mañana.,Empeoramiento matutino.,"La depresión mayor, especialmente si tiene ca-rácter endógeno/melancólico, se caracteriza por una de las siguientes alteraciones: 
1) Incremento del apetito.
2) Disminución de la secreción de cortisol.
3) Dificultad para despertarse por la mañana.
4) Empeoramiento matutino.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': 'La depresión mayor se caracteriza por una dificultad para despertarse por la mañana, también conocida como retraso en el ciclo de sueño-vigilia, especialmente en casos de depresión endógena/melancólica.'}",3,4,False,"La depresión mayor se caracteriza por una dificultad para despertarse por la mañana, también conocida como retraso en el ciclo de sueño-vigilia, especialmente en casos de depresión endógena/melancólica.'}"
Indique cuál de los siguientes trastornos NO es un trastorno de ansiedad según el DSM-5:,Trastorno obsesivo-compulsivo.,Mutismo selectivo.,Fobia situacional.,Trastorno de pánico.,"Indique cuál de los siguientes trastornos NO es un trastorno de ansiedad según el DSM-5: 
1) Trastorno obsesivo-compulsivo.
2) Mutismo selectivo.
3) Fobia situacional.
4) Trastorno de pánico.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'El mutismo selectivo no está clasificado como un trastorno de ansiedad según el DSM-5, sino como un trastorno de comunicación.'}",2,1,False,"El mutismo selectivo no está clasificado como un trastorno de ansiedad según el DSM-5, sino como un trastorno de comunicación.'}"
"En psicogeriatría, cuando es preciso el uso de benzodiacepinas ¿cuál es de elección?:",Clorazepato.,Lorazepam.,Diazepam.,Las benzodiacepinas est án contraindicadas.,"En psicogeriatría, cuando es preciso el uso de benzodiacepinas ¿cuál es de elección?: 
1) Clorazepato.
2) Lorazepam.
3) Diazepam.
4) Las benzodiacepinas est án contraindicadas.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'Lorazepam es una benzodiacepina de elección en psicogeriatría debido a su acción rápida y corta duración, lo que reduce el riesgo de efectos secundarios como la somnolencia y la confusión mental.'}",2,2,True,"Lorazepam es una benzodiacepina de elección en psicogeriatría debido a su acción rápida y corta duración, lo que reduce el riesgo de efectos secundarios como la somnolencia y la confusión mental.'}"
"En relación con los efectos secundarios de los antipsicóticos, señale la afirmación INCO-RRECTA:",La aparición de síndrome metabólico es más frecuente con el uso de antipsicóticos típicos.,"La sedación es un efecto secundario frecuente con la mayoría de los antipsicóticos, más pro-nunciado al inicio del tratamiento.","L a  d i s c i n e s i a  t a r d í a  e s  u n  t r a s t o r n o  d e l  m o v i -miento involuntario que afecta con mayor fre-cuencia a la región orofacial, aparece tras la administración prolongada de antipsicóticos y puede ser irreversible.",La acatisia es un efecto extrapiramidal para cuyo tratamiento puede estar indicada la adi-ción de benzodiazepinas o el uso de betablo-queantes.,"En relación con los efectos secundarios de los antipsicóticos, señale la afirmación INCO-RRECTA: 
1) La aparición de síndrome metabólico es más frecuente con el uso de antipsicóticos típicos.
2) La sedación es un efecto secundario frecuente con la mayoría de los antipsicóticos, más pro-nunciado al inicio del tratamiento.
3) L a  d i s c i n e s i a  t a r d í a  e s  u n  t r a s t o r n o  d e l  m o v i -miento involuntario que afecta con mayor fre-cuencia a la región orofacial, aparece tras la administración prolongada de antipsicóticos y puede ser irreversible.
4) La acatisia es un efecto extrapiramidal para cuyo tratamiento puede estar indicada la adi-ción de benzodiazepinas o el uso de betablo-queantes.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'La sedación es un efecto secundario frecuente con la mayoría de los antipsicóticos, pero es más pronunciado al inicio del tratamiento, no es una afirmación incorrecta.'}",2,1,False,"La sedación es un efecto secundario frecuente con la mayoría de los antipsicóticos, pero es más pronunciado al inicio del tratamiento, no es una afirmación incorrecta.'}"
"Acerca de la terapia combinada con psicofárma-cos y psicoterapia de los trastornos mentales, es cierto que:",Está indicada únicamente cuando han fracasa-do ambas formas de tratamiento por separado.,El alivio rápido de los síntomas de ansiedad gracias a la medicación disminuye la motiva-ción para la psicoterapia.,Exige que un mismo profesional lleve a cabo las dos modalidades de tratamiento.,Los resultados de la terapia combinada son superiores a los de cada una utilizada por sepa-rado.,"Acerca de la terapia combinada con psicofárma-cos y psicoterapia de los trastornos mentales, es cierto que: 
1) Está indicada únicamente cuando han fracasa-do ambas formas de tratamiento por separado.
2) El alivio rápido de los síntomas de ansiedad gracias a la medicación disminuye la motiva-ción para la psicoterapia.
3) Exige que un mismo profesional lleve a cabo las dos modalidades de tratamiento.
4) Los resultados de la terapia combinada son superiores a los de cada una utilizada por sepa-rado. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': 'Los resultados de la terapia combinada son generalmente superiores a los de cada una utilizada por separado, ya que los psicofármacos pueden aliviar los síntomas más graves y rápidamente, permitiendo que la psicoterapia tenga un mayor impacto en el tratamiento a largo plazo.'}",4,4,True,"Los resultados de la terapia combinada son generalmente superiores a los de cada una utilizada por separado, ya que los psicofármacos pueden aliviar los síntomas más graves y rápidamente, permitiendo que la psicoterapia tenga un mayor impacto en el tratamiento a largo plazo.'}"
"Dentro de los síndro mes parkinsonianos prima-rios, la enfermedad de Parkinson se produce por:","Una degeneración neuronal que afecta espe-cialmente al globo pálido, sustancia reticular y oliva inferior y produce un déficit de dopami-na.","Una degeneración de los núcleos de la protube-rancia, oliva inferior y el cerebelo.","Una degeneración celular en la sustancia negra que disminuye la tasa de dopamina a nivel del estriado, lo que provoca una actividad subta-lámica y palidal excesiva.",Una degeneración neuronal progresiva a nivel cortical y de los ganglios basales.,"Dentro de los síndro mes parkinsonianos prima-rios, la enfermedad de Parkinson se produce por: 
1) Una degeneración neuronal que afecta espe-cialmente al globo pálido, sustancia reticular y oliva inferior y produce un déficit de dopami-na.
2) Una degeneración de los núcleos de la protube-rancia, oliva inferior y el cerebelo.
3) Una degeneración celular en la sustancia negra que disminuye la tasa de dopamina a nivel del estriado, lo que provoca una actividad subta-lámica y palidal excesiva.
4) Una degeneración neuronal progresiva a nivel cortical y de los ganglios basales. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 1, 'justificación': 'La enfermedad de Parkinson se produce por una degeneración neuronal que afecta especialmente al globo pálido, sustancia reticular y oliva inferior y produce un déficit de dopamina'}",1,3,False,"La enfermedad de Parkinson se produce por una degeneración neuronal que afecta especialmente al globo pálido, sustancia reticular y oliva inferior y produce un déficit de dopamina'}"
"Respecto a la exploración neurológica de una lesión en la vía córtico-espinal, señale la afirma-ción INCORRECTA:",Se encuentra debilidad global en todos los grupos musculares de los miembros afectados.,El reflejo de Babinski está presente.,Presenta hipertonía tipo rigidez.,Existe hiperreflexia en los reflejos osteotendi-nosos rotulianos.,"Respecto a la exploración neurológica de una lesión en la vía córtico-espinal, señale la afirma-ción INCORRECTA: 
1) Se encuentra debilidad global en todos los grupos musculares de los miembros afectados.
2) El reflejo de Babinski está presente.
3) Presenta hipertonía tipo rigidez.
4) Existe hiperreflexia en los reflejos osteotendi-nosos rotulianos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': ""El reflejo de Babinski se encuentra presente en lesiones en la vía córtico-espinal, pero su presencia indica una lesión a nivel del sistema nervioso central superior y no en la vía córtico-espinal""}",2,3,False,"El reflejo de Babinski se encuentra presente en lesiones en la vía córtico-espinal, pero su presencia indica una lesión a nivel del sistema nervioso central superior y no en la vía córtico-espinal""}"
"Varón de 52 años, diabético, que consulta por pie caído derecho indoloro. En la exploración ha y debilidad del músculo tibial anterior y peroneos derechos, con reflejo rotuliano y aquíleos preser-vados. ¿Cuál es el diagnóstico más probable?:",Radiculopatía S1 derecha.,Mononeuropatía del ciático poplíteo externo derecho.,Radiculopatía L5 derecha.,Amiotrofia diabética.,"Varón de 52 años, diabético, que consulta por pie caído derecho indoloro. En la exploración ha y debilidad del músculo tibial anterior y peroneos derechos, con reflejo rotuliano y aquíleos preser-vados. ¿Cuál es el diagnóstico más probable?: 
1) Radiculopatía S1 derecha.
2) Mononeuropatía del ciático poplíteo externo derecho.
3) Radiculopatía L5 derecha.
4) Amiotrofia diabética. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'La presencia de debilidad del músculo tibial anterior y peroneos derechos con reflejo rotuliano y aquileos preservados sugiere una mononeuropatía del ciático poplíteo externo derecho, ya que esta neuropatía afecta al nervio tibial posterior y suele causar debilidad en los músculos tibial anterior y peroneos, mientras que los reflejos aquileos y rotulianos suelen estar preservados.'}",2,2,True,"La presencia de debilidad del músculo tibial anterior y peroneos derechos con reflejo rotuliano y aquileos preservados sugiere una mononeuropatía del ciático poplíteo externo derecho, ya que esta neuropatía afecta al nervio tibial posterior y suele causar debilidad en los músculos tibial anterior y peroneos, mientras que los reflejos aquileos y rotulianos suelen estar preservados.'}"
"En un paciente con un síndrome parkinsoniano de dos años de evolución, señale cuál de las si-guientes manifestaciones clínicas le harían dudar de un diagnóstico de enfermedad de Parkinson:",Disartria grave.,Ausencia de temblor.,Presencia de un trastorno de conducta del sue-ño REM.,Estreñimiento.,"En un paciente con un síndrome parkinsoniano de dos años de evolución, señale cuál de las si-guientes manifestaciones clínicas le harían dudar de un diagnóstico de enfermedad de Parkinson: 
1) Disartria grave.
2) Ausencia de temblor.
3) Presencia de un trastorno de conducta del sue-ño REM.
4) Estreñimiento.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': '2', 'justificación': 'La ausencia de temblor es una manifestación clínica que es característica de la enfermedad de Parkinson, por lo que su ausencia podría hacer dudar del diagnóstico.'}



",2,1,False,"La ausencia de temblor es una manifestación clínica que es característica de la enfermedad de Parkinson, por lo que su ausencia podría hacer dudar del diagnóstico.'}



"
"Un estudiante de 19 años sufre una primera crisis tónico-clónica generalizada mientras esta-ba tumbado en el sofá. La exploración neurológi-ca es normal. En la anamnesis dirigida nos dice que esos días había dormido menos horas porque estaba de exámenes y que a veces, por las maña-nas, tiene sacudidas en los brazos al coger la taza del desa yuno. Su electroencefalo grama muestra descargas de puntas y polipunta-onda generali-zadas. Señale la res puesta INCORRECTA:",Probablemente la RM craneal sea normal.,No iniciaría tratamiento por ser una primera crisis.,El diagnóstico más probable es una epilepsia mioclónica juvenil.,Iniciaría tratamiento con valproato.,"Un estudiante de 19 años sufre una primera crisis tónico-clónica generalizada mientras esta-ba tumbado en el sofá. La exploración neurológi-ca es normal. En la anamnesis dirigida nos dice que esos días había dormido menos horas porque estaba de exámenes y que a veces, por las maña-nas, tiene sacudidas en los brazos al coger la taza del desa yuno. Su electroencefalo grama muestra descargas de puntas y polipunta-onda generali-zadas. Señale la res puesta INCORRECTA: 
1) Probablemente la RM craneal sea normal.
2) No iniciaría tratamiento por ser una primera crisis.
3) El diagnóstico más probable es una epilepsia mioclónica juvenil.
4) Iniciaría tratamiento con valproato.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': ""El tratamiento de elección para las crisis mioclónicas generalizadas es el valproato, pero para un diagnóstico preciso se deben realizar más pruebas y estudios, como una resonancia magnética craneal, para descartar otras causas y asegurar un tratamiento adecuado.""}",4,2,False,"El tratamiento de elección para las crisis mioclónicas generalizadas es el valproato, pero para un diagnóstico preciso se deben realizar más pruebas y estudios, como una resonancia magnética craneal, para descartar otras causas y asegurar un tratamiento adecuado.""}"
"Un varón de 21 años comienza con un cuadro psiquiátrico consistente en alucinaciones, altera-ciones conductuales y episodios de catatonía. En unos días se añade al cuadro un déficit de memo-ria y discinesias orales y al décimo día comienza con crisis convulsivas. ¿Cuál de las si guientes pruebas daría más informa ción para el diagnós-tico?:",RM cerebral con espectroscopia.,EEG de larga duraci ón con vídeo-EEG.,Realizar un ciclo de tratamiento con metilpred-nisolona a dosis altas para valorar respuesta.,Estudio en LCR y suero de autoanticuerpos autoinmunes específicos.,"Un varón de 21 años comienza con un cuadro psiquiátrico consistente en alucinaciones, altera-ciones conductuales y episodios de catatonía. En unos días se añade al cuadro un déficit de memo-ria y discinesias orales y al décimo día comienza con crisis convulsivas. ¿Cuál de las si guientes pruebas daría más informa ción para el diagnós-tico?: 
1) RM cerebral con espectroscopia.
2) EEG de larga duraci ón con vídeo-EEG.
3) Realizar un ciclo de tratamiento con metilpred-nisolona a dosis altas para valorar respuesta.
4) Estudio en LCR y suero de autoanticuerpos autoinmunes específicos.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': 'El EEG de larga duración con vídeo-EEG es el estudio mas adecuado para el diagnóstico ya que permite evaluar la actividad cerebral en diferentes momentos y estado del paciente, incluyendo durante las crisis convulsivas, y puede ayudar a identificar patrones característicos de distintas enfermedades neurológicas.'}",2,4,False,"El EEG de larga duración con vídeo-EEG es el estudio mas adecuado para el diagnóstico ya que permite evaluar la actividad cerebral en diferentes momentos y estado del paciente, incluyendo durante las crisis convulsivas, y puede ayudar a identificar patrones característicos de distintas enfermedades neurológicas.'}"
